label	definition	caption
gun_shot	The sharp, explosive sound produced by the discharge of a gun, characterized by its high-pitched, short duration, and sudden onset.	
Wind	The continuous, rustling sound produced by the movement of air, characterized by its low-pitched, soft quality and the presence of background noise.	
Plastic crinkling	The crisp, sharp sound produced by the movement of plastic material, often characterized by a high-pitched, metallic quality.	
Footsteps	The rhythmic sounds produced by the impact of feet on a surface while walking or running, characterized by distinct patterns and intensities.	
Plucked string instrument	The sound produced by plucking the strings of a stringed musical instrument, characterized by its bright, twangy tone and the individual's technique.	
Snoring	A low, rhythmic sound produced by the passage of air through the nose and mouth during sleep, characterized by its irregular pattern and occasional bursts of sound.	
Keyboard (musical)	The sound produced by striking keys on a musical keyboard, characterized by its rich, resonant tones and the ability to produce a wide range of notes and chords.	
Acoustic guitar	The sound produced by strumming or plucking the strings of an acoustic guitar, characterized by its warm, rich tones and the ability to produce a wide range of notes and chord progressions.	
Typewriter	The rhythmic, mechanical sound produced by the movement of keys on a typewriter, characterized by a distinct clicking and clacking noise.	
Water_tap_and_faucet	The steady, dripping sound produced by a water tap or faucet, often accompanied by a slight hiss or whistle.	
Waves, surf	The continuous, crashing sound of waves on a shore or in the ocean, characterized by their rhythmic, rolling motion and the sound of water breaking against the shore.	
Sigh	A long, deep, and quiet exhalation of air through the nose, often accompanied by a slight shaking of the head or a downturned mouth.	
Bus	The continuous, rumbling sound produced by the engine of a bus, often accompanied by the screeching of brakes and the clanging of doors.	
Thump, thud	A sharp, percussive sound produced by the impact of a hard object against a surface, often accompanied by a short, sharp echo.	
Amplified speech	A loud, clear, and amplified sound of a person's voice, often used in public speaking or broadcasting.	
motorcycle/engine_accelerating	The high-pitched, revving sound produced by a motorcycle or car engine as it accelerates.	
cow	The low, mooing sound produced by cows, often characterized by its rhythmic and resonant qualities.	
Other identifiable sounds	Sounds that are easily distinguishable and identifiable, such as traffic, construction, or appliances.	
Cleaning	The sounds produced during cleaning activities, such as the swishing of a broom or the grinding of a blender.	
Vacuum cleaner	A sound produced by the suction and airflow of a vacuum cleaner, characterized by its rhythmic, high-pitched noise.	
Keys_jangling	The metallic clinking sound produced by keys as they are inserted into a lock or turned on a keychain.	
Subway, metro, underground	The continuous, rhythmic sound of trains moving through a subway or metro system, characterized by its intensity and metallic qualities.	
Silence	The absence of any audible sound, often described as a state of quiet or stillness.	
Marimba, xylophone	The percussive sound produced by striking wooden bars with mallets, characterized by its bright, resonant tones and rhythmic patterns.	
Cat	The soft, meowing vocalizations produced by cats, often characterized by their distinct pitch and rhythm.	
Bowed string instrument	A musical instrument played by drawing a bow across strings, producing a melodic sound, often heard in orchestras or chamber music.	
Electric toothbrush	An oral hygiene device that uses an electric motor to vibrate bristles and remove plaque and debris from teeth, often heard while in use.	
Knock	A sharp, rhythmic sound produced by a person tapping on a surface, typically to get someone's attention.	
car/engine_idling	The steady, low-pitched sound produced by a car engine when it is running at a low speed, typically when the car is parked or idling.	
Stationary music	Background music that is not changing in volume or pitch, typically played at a low level and not intended to be the focus of attention.	
bus/wheel_rolling	The rhythmic sound produced by the wheels of a bus rolling on a paved surface.	
Subway_and_metro_and_underground	The continuous, rumbling sound produced by the movement of trains in subway, metro, and underground systems.	
Railroad car, train wagon	The metallic clanging sound produced by the wheels of a railroad car or train wagon moving on tracks.	
Packing_tape_and_duct_tape	A sound produced by the adhesive strips of packing tape and duct tape when they are torn or stretched.	
Rail transport	The sound of trains moving on rails, characterized by the clacking of wheels and the rumbling of engines.	
Male_singing	The sound of a male voice singing, often characterized by a distinct pitch, tone, and rhythm.	
Glass	The sound of breaking glass, characterized by sharp, high-pitched tones and a metallic ring.	
Piano	A musical instrument with a keyboard and strings, producing a rich, resonant sound when struck with the fingers, often used in classical or popular music.	
Dishes, pots, and pans	The sound of dishes, pots, and pans being washed, characterized by the clinking and clattering of metal against metal.	
Air conditioning	A low-pitched, rhythmic humming sound produced by an air conditioning unit, often accompanied by a faint clicking noise.	
Harp	A melodic, plucked string instrument with a large, resonant body, characterized by a rich, resonant sound.	
Church_bell	A deep, tolling sound produced by a church bell, often accompanied by a soft, chiming sound.	
Tick	A short, sharp sound produced by a mechanical device, such as a clock or a watch, often accompanied by a visual movement.	
Computer keyboard	A set of keys on a computer that produce sounds when pressed, often accompanied by visual feedback on a screen.	
airplane	A loud, continuous, metallic sound produced by the wings of an airplane as it flies overhead.	
breathing	The rhythmic, inhaling and exhaling sounds produced by the lungs as a person breathes.	
Screech	A high-pitched, piercing sound produced by metal on metal, such as brakes on a train or a car.	
Mobile music	The sound of music played on mobile devices, often characterized by its portability and convenience.	
Burping, eructation	The sound produced by the expulsion of gas from the stomach through the mouth, often accompanied by a popping or gurgling noise.	
Clapping	The sharp, rhythmic sound produced by the rapid impact of hands together, often used as a form of applause or celebration.	
music-from-uncertain-source	An audio signal with an unknown origin or source, characterized by its unpredictable and ever-changing nature.	
sneezing	The sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a slight whistling or popping noise.	
traffic_noise	The continuous, low-level noise produced by the movement of vehicles on roads, characterized by its rhythmic and repetitive nature.	
brakes_squeaking	The high-pitched, metallic sound produced by the brakes of a vehicle when they are applied or released.	
door_wood_creaks	The low, creaky sound produced by wooden door frames as they open and close.	
shopping cart	The rustling, clattering sound produced by the movement of items in a shopping cart as it is wheeled along.	
cupboard/wardrobe	A sound produced by the opening and closing of a cupboard or wardrobe, characterized by a soft, metallic clangor.	
Fireworks	A loud, explosive sound produced by the ignition of gunpowder, characterized by a sharp, crackling noise followed by a burst of sound and light.	
object impact	A sound produced by the impact of an object on a surface, characterized by a sharp, metallic clangor or a dull thud, depending on the materials involved.	
Traffic noise, roadway noise	The loud, continuous noise produced by vehicles and other sounds on roads and highways.	
Percussive sounds, e.g. crash, bang, knock, footsteps	The sharp, short sounds produced by the impact of objects or body parts against surfaces, characterized by their intensity and rhythm.	
Inside, large room or hall	The echoey, reverberant sound produced by the bouncing of sound waves off hard surfaces in a large, enclosed space.	
Sawing	The continuous, high-pitched sound produced by the rapid movement of a saw blade through wood or other materials, characterized by its rhythmic pattern and intensity.	
frog	The croaking sound produced by frogs, characterized by its high-pitched, rhythmic, and pulsating nature.	
Conversation	The verbal exchange between two or more people, characterized by its natural flow, tone, and content.	
Human movement	The sounds produced by human movement, such as footsteps, hand clapping, and body shifting, characterized by their rhythm, intensity, and pattern.	
Television	The sound produced by a television, characterized by its high-pitched, electronic quality and the presence of background noise.	
can_opening	The sound of a can being opened, characterized by a sharp, metallic clangor and a hiss of air escaping.	
truck	The loud, rumbling sound produced by a truck, often accompanied by the sound of its engine and brakes.	
other-unknown-alert-signal	An alert sound that is not easily identifiable, often characterized by a high-pitched, electronic tone.	
Splash_and_splatter	The sound of water splashing and splattering against a surface, characterized by short, sharp bursts of sound.	
large-rotating-saw	The continuous, high-pitched sound produced by a large rotating saw, characterized by its rhythmic, grinding quality.	
Crash cymbal	The loud, sharp sound produced by striking a cymbal with a hard mallet, characterized by its sharp, metallic quality.	
Domestic_animals_and_pets	The sounds produced by common household pets, such as cats, dogs, and birds, characterized by their unique vocalizations and behaviors.	
Hiss	The sharp, high-pitched sound produced by a hissing snake or other hissing creature, characterized by its sudden, short bursts of sound.	
coughing	A dry, hacking sound produced by the respiratory system, often accompanied by the expulsion of mucus or phlegm.	
Boiling	The sound of water rapidly heating and bubbling, characterized by its high-pitched, rapid noises.	
Car crash	The loud, sharp sound produced by the collision of two vehicles, often accompanied by crunching, grinding, and screeching noises.	
Ratchet_and_pawl	A metallic clicking sound produced by a ratchet and pawl mechanism, typically used in machinery or vehicles.	
Medium engine	The humming and vibrating sounds produced by a medium-sized internal combustion engine, typically found in cars or small trucks.	
Gurgling	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling.	
Bass guitar	A stringed musical instrument with a deep, resonant sound, typically played with a plectrum or fingers.	
other-unknown-powered-saw	A power saw with an unknown source of power, characterized by its high-pitched, whirring sound.	
Splash, splatter	The sound of water splashing or splattering, often accompanied by a hissing or crackling noise.	
Motor vehicle (road)	The continuous, rumbling sound produced by a motor vehicle traveling on a road, characterized by its intensity and white noise-like qualities.	
speech	The human voice used for communication, characterized by rhythmic patterns of sound and intonation.	
dishwasher	The sound produced by a dishwasher while it is in operation, characterized by a rhythmic, cyclical pattern of water splashing and scraping against dishes.	
Tabla	The percussive sound produced by striking two flat metal plates together, characterized by a sharp, resonant tone and a rhythmic pattern of beats.	
Wind instrument, woodwind instrument	A musical instrument that produces sound by the vibration of air, typically characterized by a reed or a whistle.	
Livestock, farm animals, working animals	Large domesticated mammals kept for agricultural, dairy, or meat production, such as cows, pigs, and chickens.	
Coin_(dropping)	The sound produced when a coin falls or lands on a hard surface, characterized by a metallic clang or chime.	
large_vehicle	A large, heavy vehicle with a loud, rumbling engine and multiple wheels, often used for transportation of goods or people over long distances.	
person-or-small-group-talking	The sound of one or more people speaking, characterized by their voices and the content of their conversation, often accompanied by background noise.	
Accelerating, revving, vroom	The sound of an engine revving up or accelerating, characterized by a high-pitched, rhythmic noise.	
Pile driver	The continuous, heavy impact sound produced by a pile driver, often characterized by its intensity and repetition.	
Car	The sound of a car engine, characterized by its roar, hum, or buzz, depending on the make and model.	
door opens/closes	The sound of a door opening or closing, characterized by a distinct click or creaking noise.	
chatter	The sound of people talking, characterized by rapid, overlapping speech and varying pitch and volume.	
Musical_instrument	A device used to produce musical sound, typically consisting of a body that resonates when struck, vibrated, or bowed.	
Snare_drum	A percussion instrument with a sharp, high-pitched sound produced by a stretched wire or animal skin stretched over a hollow body, typically struck with a stick or mallet.	
reverse-beeper	A device that produces a high-pitched, continuous sound, often used as a warning or alert signal, with a reversed pitch compared to a typical beeper.	
Drawer open or close	The sound of a drawer opening or closing, characterized by a sharp, metallic clangor or a soft, wooden creak.	
Domestic sounds	The sounds produced in a household, including footsteps, appliances, and conversations, often characterized by their familiarity and repetition.	
Bicycle, tricycle	The sound of pedals turning and tires rolling on a surface, characterized by a rhythmic, steady noise.	
Domestic animals, pets	The sounds produced by common household animals, such as dogs, cats, and birds, often characterized by their unique vocalizations and behaviors.	
(object) banging	The loud, sharp sound produced by the impact of an object against a hard surface, often accompanied by a short, echoing reverberation.	
Fire engine, fire truck (siren)	The high-pitched, wailing sound produced by the siren of a fire engine or fire truck, often used to alert people to danger and summon emergency services.	
Walk_and_footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern.	
hand_saw	The high-pitched, metallic sound produced by the blade of a hand saw cutting through wood or other materials.	
fireworks	A loud, explosive sound produced by the ignition of gunpowder, characterized by its bright flashes and booming noises.	
Vehicle_horn_and_car_horn_and_honking	A loud, continuous sound produced by the horn of a vehicle, often used to signal danger or warning.	
(object) rustling	A soft, gentle sound produced by the movement of leaves, paper, or other light materials, characterized by its light, rustling quality.	
Gull, seagull	The loud, squawking vocalizations produced by seagulls, often characterized by their distinctive pitch and rhythm.	
amplified-speech	The amplified sound of human speech, typically produced through the use of microphones and speakers.	
Keyboard_(musical)	The sound produced by striking keys on a musical keyboard, characterized by its pitch, rhythm, and timbre.	
Raindrop	A small, individual droplet of water that falls from the sky during rain, producing a distinct, pitter-patter sound.	
Chirp, tweet	A short, high-pitched vocalization produced by birds, often characterized by a distinct pattern of notes.	
Bell	A metal object that produces a ringing sound when struck or rung, often used to signal time or other events.	
helicopter	A rotating aircraft with blades that produce a continuous, rhythmic sound as they rotate.	
Crack	A sharp, short sound produced by the breaking of a surface or object, often accompanied by a popping or snapping noise.	
Bowed_string_instrument	A musical instrument that produces sound by vibrating strings that are bowed with a bow, characterized by a rich, resonant tone.	
cutlery and dishes	The clinking and clattering sounds produced by cutlery and dishes when they are struck together or against a hard surface.	
bus/compressor	The humming and whirring sounds produced by the engine of a bus or compressor, often accompanied by the sound of air rushing through the vents.	
Fixed-wing_aircraft_and_airplane	The roaring and buzzing sounds produced by the engines of fixed-wing aircraft and airplanes, often accompanied by the sound of air rushing through the wings and the occasional clattering of landing gear.	
Camera	A device used to capture images and videos, often characterized by its shutter sound and lens clicking sound.	
Wild animals	The sounds produced by various wild animals, such as roars, growls, and chirps, often characterized by their distinct patterns and pitches.	
Motor_vehicle_(road)	The sounds produced by motor vehicles traveling on roads, such as engine noise, tire screeching, and horns, often characterized by their intensity and rhythm.	
jackhammer	A loud, rhythmic, percussive sound produced by a jackhammer, characterized by its intensity and repetition.	
drinking_sipping	The sound of liquid being consumed through a straw or mouth, characterized by its rhythmic, slurping nature.	
car_horn	A loud, high-pitched sound produced by a car horn, often used to signal danger or warning.	
Telephone dialing, DTMF	The sound of a telephone keypad being dialed, characterized by a series of short, sharp tones.	
Human_voice	The natural, vocal sounds produced by humans, including speech, singing, and other forms of vocal communication.	
Female singing	The melodic vocalizations produced by a female singer, often characterized by a wide range of pitches and expressive phrasing.	
Bass_drum	A deep, resonant drum sound often used in rock and electronic music, characterized by its low frequency and strong, steady rhythm.	
Scratching (performance technique)	A percussive technique used in DJing and turntablism, in which the DJ rapidly moves the record back and forth on the turntable, creating a rhythmic, staccato sound.	
Gunshot_and_gunfire	The sharp, explosive sound produced by a gunshot, often accompanied by a short burst of noise and reverberation.	
Cash register	The sound of coins being inserted, removed, and counted, often accompanied by a paper receipt being printed.	
Screaming	A loud, high-pitched vocalization characterized by rapid, repeated bursts of sound.	
Pump (liquid)	The continuous, rhythmic sound produced by a pump moving liquid through a pipe or container.	
Machinery impact	The sharp, metallic sound produced by the impact of machinery on a hard surface, often accompanied by a clang or clatter.	
Brass instrument	A musical instrument made of brass, characterized by its bright, resonant sound and the ability to produce a wide range of pitches through the use of a mouthpiece and various techniques.	
Mallet percussion	A percussion instrument played with mallets, characterized by its sharp, staccato sound and the ability to produce a variety of tones and rhythms through the use of different mallet techniques.	
Jackhammer	A heavy-duty power tool used for breaking concrete and other hard materials, characterized by its loud, rhythmic pounding sound and the ability to generate significant force and energy.	
car/engine_accelerating	The sound of a car engine accelerating, characterized by a rising pitch and increasing intensity.	
Applause	The sound of applause, characterized by a rhythmic clapping of hands and a sharp, percussive quality.	
Cymbal	The sound of a cymbal, characterized by a sharp, metallic ring and a resonant, sustained tone.	
clock_tick	The short, sharp sound produced by a clock, often accompanied by a soft ticking noise.	
mobile-music	The music played on mobile devices, characterized by its variety of genres, styles, and sounds.	
running engine	A rhythmic, mechanical sound produced by the movement of pistons and valves in an internal combustion engine, characterized by a steady, pulsating rhythm.	
Drum	A percussion instrument consisting of a hollow body struck with a mallet or other object, producing a sharp, resonant sound, often used in music and other forms of percussion.	
keyboard_typing	The sound produced by the keys of a keyboard as they are pressed and released, characterized by a rapid, repetitive pattern of clicks and taps.	
Mechanical_fan	A mechanical fan produces a steady, rhythmic sound characterized by a low pitch and a steady hum.	
Medium engine (mid frequency)	A medium engine produces a sound characterized by a mid-range frequency, often described as a rumble or growl.	
Accelerating_and_revving_and_vroom	"The sound of an accelerating and revving engine is characterized by a high-pitched, whistling sound, often described as a ""vroom"" or ""roar""."	
Drum kit	A collection of percussion instruments, typically consisting of drums, cymbals, and other percussion instruments, played together to produce a rhythmic sound.	
Outside, rural or natural	The ambient sounds of nature, such as birdsong, rustling leaves, and flowing water, often characterized by their natural and unprocessed quality.	
Rail_transport	The continuous, rhythmic sound produced by the wheels of a train moving along tracks, often accompanied by the clacking of the rails and the occasional screeching of brakes.	
Whistling	A high-pitched, continuous sound produced by blowing air through the lips and teeth, often used as a form of communication or warning signal.	
Outside, urban or manmade	A sound produced by manmade objects or activities in an urban environment, such as traffic, construction, or machinery.	
Crowd	A large group of people gathered together, producing a collective sound characterized by overlapping voices and footsteps.	
Human voice	The vocalizations produced by humans, characterized by a wide range of pitches, tones, and inflections.	
Pig	The vocalizations and sounds produced by pigs, including grunts, squeals, and snorts.	
Marimba_and_xylophone	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound.	
Bass_guitar	A stringed musical instrument with a deep, resonant sound, typically played with a plectrum or fingers.	
Idling	The sound of an engine or machine that is running at a low speed or not in use, characterized by a steady, low hum.	
Crow	The distinctive, cawing vocalizations produced by crows, often described as a loud, piercing, and repetitive sound.	
Gears	A metallic, grinding sound produced by the movement of teeth on teeth, often heard in machinery or vehicles.	
Drip	A steady, rhythmic sound produced by the flow of liquid, such as water or oil, dripping from a source.	
Doorbell	A ringing or dinging sound produced by a doorbell, often accompanied by a chime or melody.	
Car_passing_by	The sound of a car engine and tires rolling on the road, characterized by a steady rhythm and a low-pitched hum.	
Crackle	The sharp, crackling sound produced by the movement of air or other materials, often associated with static or electrical interference.	
Wild_animals	The diverse range of sounds produced by wild animals, including calls, chirps, roars, and other vocalizations.	
Drum_kit	The collection of percussion instruments used in music, including drums, cymbals, and other handheld instruments, producing a wide range of sounds and rhythms.	
Cheering	The loud, joyful vocalizations produced by a group of people, often accompanied by clapping and shouting.	
Screeching	The high-pitched, piercing sound produced by the friction of metal against metal, such as brakes on a train or a siren.	
Giggle	The light, high-pitched laughter often characterized by short, repeated bursts of sound.	
Toilet flush	The sound of water rushing out of a toilet bowl, characterized by a continuous, swishing noise.	
mouse_click	The sharp, high-pitched sound produced by a mouse clicking its teeth or claws, often accompanied by a short, crackling noise.	
Aircraft	The sound of an aircraft engine, characterized by its steady, rhythmic hum and occasional bursts of noise from takeoff and landing.	
Frog	The croaking sound produced by a frog, characterized by its high-pitched, trilling vocalizations.	
crash	The loud, sharp sound produced by the collision of two objects, often accompanied by metallic clanging or shattering glass.	
Hands	The sound produced by the movement of fingers on a surface, often characterized by a soft, rhythmic tapping or scratching sound.	
Child speech, kid speaking	The vocalizations produced by children, often characterized by their high-pitched, melodious, and expressive nature.	
Plucked_string_instrument	The sound produced by plucking the strings of a stringed instrument, often characterized by its bright, twangy, and resonant quality.	
Male speech, man speaking	The vocalizations produced by a male human, characterized by distinct pitch, rhythm, and intonation.	
Musical instrument	An object that produces sound when played or struck, typically consisting of strings, wood, or metal.	
Hammer	A percussive tool with a flat, striking surface and a handle, used for driving nails into wood or other materials.	
Chainsaw	A power saw with a long, rotating blade enclosed in a chain, used for cutting through wood and other materials.	
thunderstorm	A storm characterized by the presence of thunder and lightning, producing loud, rumbling noises and sudden, bright flashes of light.	
Bird	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
Pour	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise.	
Printer	The sound produced by a printer, characterized by a rhythmic, clicking noise as paper is fed through the machine.	
vacuum_cleaner	A loud, rhythmic sound produced by a vacuum cleaner as it moves across a surface, characterized by its intensity and repetition.	
Finger snapping	A sharp, high-pitched sound produced by snapping the fingers together, often used as a percussive element in music or as a signal.	
stationary-music	A continuous, ambient sound produced by a musical instrument or device that is not moving or changing position, often used as background music or to create a specific mood.	
glass jingling	The sound produced by the jingling of glass, characterized by its high-pitched, metallic tones.	
Brake	The sound produced by the braking of a vehicle, characterized by its sharp, high-pitched noise.	
Sliding door	The sound produced by the movement of a sliding door, characterized by its smooth, gliding motion and a soft, metallic sound.	
Blender	A kitchen appliance used for blending, mixing, and pureeing food ingredients, characterized by its whirring and grinding sounds.	
Walk, footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, characterized by their speed, intensity, and pattern.	
Female_speech_and_woman_speaking	The vocalizations produced by a female speaker, characterized by their pitch, tone, and content.	
Breathing	The sound of air moving in and out of the lungs, characterized by rhythmic inhalations and exhalations.	
Fill (with liquid)	The sound of liquid being poured or filled into a container, characterized by splashing or gurgling noises.	
Crumpling_and_crinkling	The sound of paper or other materials being crumpled or crinkled, characterized by rustling or crinkling noises.	
Throat clearing	The sound produced by clearing the throat, characterized by a short, sharp noise.	
Sliding_door	The sound produced by a sliding door, characterized by a smooth, continuous glide.	
Sink (filling or washing)	The sound produced by water filling or washing a sink, characterized by a steady, rhythmic splashing.	
Chop	The sound of a knife cutting through food, characterized by short, sharp, and rhythmic noises.	
Cough	The sound of air being expelled from the lungs, often accompanied by a dry, hacking noise.	
Scissors	The sound of metal blades cutting through fabric or paper, characterized by a sharp, metallic noise.	
Animal	The vocalizations produced by animals, often characterized by distinct patterns, pitches, and rhythms	
Train wheels squealing	The continuous, high-pitched sound produced by the friction of train wheels on tracks, often accompanied by a rumbling noise	
car	A vehicle with four wheels, designed for transportation on roads, characterized by its engine sound and the sound of tires rolling on the pavement.	
truck/engine_accelerating	The sound of a truck's engine accelerating, characterized by its rumbling and roaring noises.	
Whoosh_and_swoosh_and_swish	The sound of air rushing past a narrow opening, such as a window or door, characterized by its high-pitched whistling sound.	
motorcycle/brakes	The screeching sound produced by the brakes of a motorcycle, characterized by its high-pitched, metallic quality.	
Waves_and_surf	The continuous, crashing sound of waves against the shore, often accompanied by the sound of seagulls and other marine life.	
Splinter	The sharp, cracking sound produced by breaking a piece of wood or other material, characterized by its short, high-pitched quality.	
small-medium-rotating-saw	A mechanical cutting tool with a small to medium blade that rotates rapidly to cut through materials.	
other-unknown-human-voice	A voice that is not easily identifiable or recognizable as belonging to a specific person or group.	
bird singing	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
children shouting	The high-pitched, excited vocalizations produced by children, often characterized by rapid, repetitive bursts of sound.	
cooking	The sizzling, crackling, or bubbling sounds produced by food cooking, characterized by rapid, popping noises.	
beater	The sharp, rhythmic sound produced by a drumbeat or percussion instrument, often characterized by a steady, driving rhythm.	
furniture movement	The sound of furniture being moved, characterized by a soft, creaking noise.	
cat	The soft, meowing vocalizations produced by cats, often characterized by their distinct pitch and rhythm.	
motorbike	The loud, revving sound produced by a motorbike engine, often accompanied by the screeching of tires on the road.	
people walking	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern.	
car/brakes	The screeching or grinding sound produced by the brakes of a car, often accompanied by a metallic or rubbery quality.	
piano	The rich, resonant sound produced by the strings of a piano, characterized by its sustainability and ability to produce a wide range of notes.	
dog	A domesticated mammal known for its barking sound, characterized by a high-pitched, rhythmic vocalization.	
footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, characterized by their speed, intensity, and pattern.	
barking dog	A dog making a loud, high-pitched vocalization, often characterized by its rhythmic, repetitive nature.	
furniture dragging	The sound of furniture being dragged across a hard surface, characterized by a low rumble and occasional scraping noises.	
crackling_fire	The sound of a fire crackling, characterized by a sharp, crackling noise produced by burning wood.	
Hose pump	The sound of a hose pump, characterized by a rhythmic, pulsing noise produced by the movement of water through a hose.	
sheep	The soft, woolly sounds produced by sheep, often characterized by their bleating and low-pitched moans.	
clapping	The sharp, percussive sound produced by the rapid movement of hands together, often accompanied by a rhythmic pattern.	
rooster	The loud, crowing sound produced by roosters, often characterized by its distinct, high-pitched call.	
adults_talking	The sound of adults speaking in a conversational tone, characterized by their pitch, rhythm, and inflection.	
rock-drill	The continuous, rhythmic sound produced by a rock drill, characterized by its intensity and white noise-like qualities.	
Civil defense siren	The loud, piercing sound produced by a civil defense siren, often accompanied by a high-pitched whistle or siren-like noise.	
chirping_birds	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
microwave	The continuous, high-frequency sound produced by a microwave oven, characterized by its intensity and white noise-like qualities.	
walking	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern.	
dishes	The sound of dishes clinking, clattering, and rattling as they are washed, dried, and put away.	
insects	The buzzing, chirping, and clicking sounds produced by insects, often characterized by their high-pitched frequencies and rapid rhythms.	
truck/compressor	The loud, rhythmic sound of a truck's engine and compressor, often accompanied by the hissing and whistling of air being compressed.	
dog_bark	A loud, high-pitched vocalization produced by dogs, characterized by its rhythmic, staccato pattern and distinctive pitch.	
(object) snapping	The sharp, crackling sound produced by the rapid expansion of air surrounding a snapping object, such as a rubber band or a firecracker.	
pile-driver	The continuous, rhythmic pounding sound produced by a pile-driver, characterized by its intensity and repetitive pattern.	
wind blowing	The sound of wind blowing through leaves, grass, or other objects, characterized by its rustling and swishing qualities.	
train	The continuous, rhythmic sound produced by the wheels of a train moving along tracks, often accompanied by the clacking of the couplings.	
vacuum cleaner	The loud, whirring sound produced by a vacuum cleaner as it sucks up dirt and debris, characterized by its high-pitched, rapid noises.	
children voices	The high-pitched, playful vocalizations produced by children, often characterized by their laughter, chatter, and singing.	
switch	The electronic sound produced by a switch or toggle, characterized by its click-like quality and short duration.	
knocking on door	The rhythmic, repetitive sound produced by someone knocking on a door, characterized by its intensity and distinct pattern.	
people speaking	The sounds produced by human voices while communicating, characterized by a wide range of pitches, tones, and rhythms.	
babycry	The high-pitched, emotional vocalizations produced by infants, often characterized by rapid, alternating cries and sobs.	
male scream	The loud, intense vocalizations produced by males, often characterized by high-pitched shrieks and piercing cries.	
sea_waves	The rhythmic, crashing sounds produced by waves as they break against the shore	
burning fire	The crackling, popping, and hissing sounds produced by burning wood or other materials	
Non-machinery impact	The sharp, sudden sounds produced by the impact of non-machinery objects, such as rocks or branches hitting against each other	
drilling	A loud, rhythmic sound produced by a drill bit striking a hard surface, characterized by its intensity and repetition.	
washing dishes	The sound of water splashing against dishes as they are being washed, characterized by its rhythm and intensity.	
clock_alarm	A loud, piercing sound produced by a clock alarm, characterized by its sudden onset and high pitch.	
metro approaching	The sound of a train approaching a station, characterized by its rhythmic clacking and rumbling.	
hoe-ram	The loud, percussive sound produced by a hoe-ram, often used for breaking up concrete or other hard surfaces.	
birds_singing	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	
church_bells	The sound of church bells ringing, characterized by their deep, resonant tones and a steady rhythm.	
engine	The sound of an engine, characterized by its steady hum or roar, often accompanied by vibrations and mechanical noises.	
door_wood_knock	The sound of someone knocking on a wooden door, characterized by a sharp, percussive sound and a distinct rhythm.	
Light engine (high frequency)	A high-frequency sound produced by a light engine, characterized by its rapid, pulsating nature and a distinct pitch.	
alarm	A loud, high-pitched sound produced by an electronic device to alert someone of danger or an impending event.	
Bicycle bell	A metallic ringing sound produced by a bicycle bell, typically used to signal the presence of a cyclist on the road.	
cash register beeping	A short, high-pitched sound produced by a cash register to indicate a transaction has been completed.	
crying baby	A high-pitched, wailing sound produced by a baby, often characterized by its intensity and emotional connotations.	
people talking	The sound of human voices in conversation, characterized by their rhythm, pitch, and tone.	
medium-sounding-engine	A moderate-intensity sound produced by a vehicle engine, often characterized by its rhythmic pattern and mechanical nature.	
ringing phone	A high-pitched, continuous sound produced by a telephone ringing.	
bus	A loud, rumbling sound produced by the engine of a bus, often accompanied by the screeching of brakes.	
smoke extractor	A low-pitched, humming sound produced by a smoke extractor, often accompanied by the sound of air moving through a filter.	
Bird flight, flapping wings	The rhythmic, flapping motion of bird wings as they fly, characterized by a distinct pattern and pitch.	
Banjo	The resonant, twangy sound produced by a banjo, often characterized by its high-pitched notes and percussive rhythm.	
Arrow	The sharp, piercing sound produced by an arrow as it flies through the air, characterized by its high-pitched, whistling quality.	
Traditional music	A genre of music that is rooted in a particular culture or region, often characterized by its use of traditional instruments and musical styles.	
Busy signal	A type of electronic sound that is used to indicate that a device or system is busy or unavailable, often characterized by its high-pitched, pulsating quality.	
Ska	A genre of music that originated in Jamaica in the late 1960s, characterized by its upbeat tempo, horn-driven instrumentation, and socially conscious lyrics.	
Belly laugh	A loud, joyful laugh characterized by deep, resonant tones and rapid, rhythmic bursts of sound.	
Angry music	A fast-paced, intense musical composition often characterized by loud, dissonant harmonies and aggressive rhythms.	
Babbling	A continuous, incoherent stream of words or sounds, often characterized by repetition, monotony, and lack of meaning.	
Pop music	A genre of music characterized by its catchy melodies, upbeat tempo, and commercial appeal.	
Hip hop music	A genre of music characterized by its rhythmic speech, beatboxing, and use of electronic instruments.	
Bagpipes	A musical instrument that produces sound by the vibration of a bag filled with air and the blowing of air through a set of pipes.	
